--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:43:19.421431,9.71
16:43:19.559150,7.45
16:43:19.865888,9.68
16:43:20.327541,9.75
16:43:20.703092,9.86
16:43:21.064343,5.4
16:43:21.469172,7.37
16:43:22.073747,9.82
16:43:22.362928,9.6
16:43:22.763723,0.0
16:43:23.044540,9.57
16:43:23.314860,7.34
16:43:23.841674,9.71
16:43:24.069029,9.42
16:43:24.399533,0.0
16:43:24.632944,9.97
16:43:25.109614,10.78
16:43:25.472273,9.93
16:43:25.694845,9.97
16:43:25.934728,6.9
16:43:26.663952,9.97
16:43:27.137820,10.59
16:43:27.757576,10.92
16:43:28.204110,10.45
16:43:28.831580,11.11
16:43:31.736987,3.79
16:43:31.975402,0.2
16:43:32.184780,0.0
16:43:32.504874,1.74
16:43:33.457979,10.04
16:43:33.739517,5.83
16:43:34.329497,10.08
16:43:34.433838,3.89
16:43:34.931352,0.0
16:43:35.422056,5.58
16:43:35.881877,9.9
16:43:36.311929,9.93
16:43:36.768842,9.93
16:43:36.980210,0.0
16:43:38.089444,5.4
16:43:38.592884,9.75
16:43:38.826059,5.29
16:43:39.420794,0.0
16:43:39.801105,9.71
16:43:40.413242,3.05
16:43:40.689743,9.9
16:43:41.056321,0.0
16:43:41.343535,0.0
16:43:41.985471,0.0
16:43:42.303329,0.0
16:43:43.009556,1.63
16:43:43.859754,9.97
16:43:44.300303,9.93
16:43:44.534573,5.4
16:43:45.549389,9.82
16:43:45.891041,9.86
16:43:46.651262,0.0
16:43:46.986225,0.0
16:43:47.289042,0.0
16:43:48.155358,0.53
16:43:48.567528,0.0
